date,season,year,month,weather,atemp,count,atemp_range,atemp_category
2011-02-03,spring,2011,Feb,Clear/Partly Cloudy,8.8939,1550,"(3.952, 11.572]",Very Cold
2011-02-04,spring,2011,Feb,Misty/Cloudy,11.429350000000001,1708,"(3.952, 11.572]",Very Cold
2011-02-05,spring,2011,Feb,Misty/Cloudy,12.152899999999999,1005,"(11.572, 19.19]",Cold
2011-02-06,spring,2011,Feb,Clear/Partly Cloudy,14.58355,1623,"(11.572, 19.19]",Cold
2011-02-07,spring,2011,Feb,Clear/Partly Cloudy,15.1829,1712,"(11.572, 19.19]",Cold
2011-02-08,spring,2011,Feb,Clear/Partly Cloudy,9.9123,1530,"(3.952, 11.572]",Very Cold
2011-02-09,spring,2011,Feb,Misty/Cloudy,7.21415,1605,"(3.952, 11.572]",Very Cold
2011-02-10,spring,2011,Feb,Clear/Partly Cloudy,7.477399999999999,1538,"(3.952, 11.572]",Very Cold
2011-02-11,spring,2011,Feb,Clear/Partly Cloudy,10.67545,1746,"(3.952, 11.572]",Very Cold
2011-02-12,spring,2011,Feb,Clear/Partly Cloudy,11.6477,1472,"(11.572, 19.19]",Cold
2011-02-13,spring,2011,Feb,Clear/Partly Cloudy,16.20565,1589,"(11.572, 19.19]",Cold
2011-02-14,spring,2011,Feb,Clear/Partly Cloudy,19.9175,1913,"(19.19, 26.808]",Moderate
2011-02-15,spring,2011,Feb,Clear/Partly Cloudy,12.7137,1815,"(11.572, 19.19]",Cold
2011-02-16,spring,2011,Feb,Clear/Partly Cloudy,15.809999999999999,2115,"(11.572, 19.19]",Cold
2011-02-17,spring,2011,Feb,Clear/Partly Cloudy,21.4329,2475,"(19.19, 26.808]",Moderate
2011-02-18,spring,2011,Feb,Clear/Partly Cloudy,25.599149999999998,2927,"(19.19, 26.808]",Moderate
2011-02-19,spring,2011,Feb,Clear/Partly Cloudy,19.5702,1635,"(19.19, 26.808]",Moderate
2011-02-20,spring,2011,Feb,Clear/Partly Cloudy,13.8665,1812,"(11.572, 19.19]",Cold
2011-02-21,spring,2011,Feb,Misty/Cloudy,14.203750000000001,1107,"(11.572, 19.19]",Cold
2011-02-22,spring,2011,Feb,Clear/Partly Cloudy,9.30165,1450,"(3.952, 11.572]",Very Cold
2011-02-23,spring,2011,Feb,Clear/Partly Cloudy,12.28585,1917,"(11.572, 19.19]",Cold
2011-02-24,spring,2011,Feb,Misty/Cloudy,14.459549999999998,1807,"(11.572, 19.19]",Cold
2011-02-25,spring,2011,Feb,Misty/Cloudy,17.52305,1461,"(11.572, 19.19]",Cold
2011-02-26,spring,2011,Feb,Clear/Partly Cloudy,14.1096,1969,"(11.572, 19.19]",Cold
2011-02-27,spring,2011,Feb,Clear/Partly Cloudy,17.55545,2402,"(11.572, 19.19]",Cold
2011-02-28,spring,2011,Feb,Misty/Cloudy,20.005899999999997,1446,"(19.19, 26.808]",Moderate
2011-03-01,spring,2011,Mar,Clear/Partly Cloudy,13.19395,1851,"(11.572, 19.19]",Cold
2011-03-02,spring,2011,Mar,Clear/Partly Cloudy,16.00355,2134,"(11.572, 19.19]",Cold
2011-03-03,spring,2011,Mar,Clear/Partly Cloudy,10.00665,1685,"(3.952, 11.572]",Very Cold
2011-03-04,spring,2011,Mar,Misty/Cloudy,12.783949999999999,1944,"(11.572, 19.19]",Cold
2011-03-05,spring,2011,Mar,Misty/Cloudy,18.93895,2077,"(11.572, 19.19]",Cold
2011-03-06,spring,2011,Mar,Misty/Cloudy,18.3126,605,"(11.572, 19.19]",Cold
2011-03-07,spring,2011,Mar,Clear/Partly Cloudy,11.92305,1872,"(11.572, 19.19]",Cold
2011-03-08,spring,2011,Mar,Clear/Partly Cloudy,15.120000000000001,2133,"(11.572, 19.19]",Cold
2011-03-09,spring,2011,Mar,Misty/Cloudy,14.3304,1891,"(11.572, 19.19]",Cold
2011-03-10,spring,2011,Mar,Light Rain/Snow,19.2834,623,"(19.19, 26.808]",Moderate
2011-03-11,spring,2011,Mar,Misty/Cloudy,15.25,1977,"(11.572, 19.19]",Cold
2011-03-12,spring,2011,Mar,Clear/Partly Cloudy,16.287499999999998,2132,"(11.572, 19.19]",Cold
2011-03-13,spring,2011,Mar,Clear/Partly Cloudy,19.004550000000002,2417,"(11.572, 19.19]",Cold
2011-03-14,spring,2011,Mar,Clear/Partly Cloudy,16.6,2046,"(11.572, 19.19]",Cold
2011-03-15,spring,2011,Mar,Misty/Cloudy,15.908900000000001,2056,"(11.572, 19.19]",Cold
2011-03-16,spring,2011,Mar,Misty/Cloudy,18.3465,2192,"(11.572, 19.19]",Cold
2011-03-17,spring,2011,Mar,Clear/Partly Cloudy,20.51665,2744,"(19.19, 26.808]",Moderate
2011-03-18,spring,2011,Mar,Clear/Partly Cloudy,26.35045,3239,"(19.19, 26.808]",Moderate
2011-03-19,spring,2011,Mar,Clear/Partly Cloudy,23.32625,3117,"(19.19, 26.808]",Moderate
2011-03-20,spring,2011,Mar,Clear/Partly Cloudy,16.287499999999998,2471,"(11.572, 19.19]",Cold
2011-03-21,summer,2011,Mar,Misty/Cloudy,20.48675,2077,"(19.19, 26.808]",Moderate
2011-03-22,summer,2011,Mar,Clear/Partly Cloudy,22.0321,2703,"(19.19, 26.808]",Moderate
2011-03-23,summer,2011,Mar,Misty/Cloudy,16.89695,2121,"(11.572, 19.19]",Cold
2011-03-24,summer,2011,Mar,Misty/Cloudy,13.541649999999999,1865,"(11.572, 19.19]",Cold
2011-03-25,summer,2011,Mar,Clear/Partly Cloudy,12.8156,2210,"(11.572, 19.19]",Cold
2011-03-26,summer,2011,Mar,Clear/Partly Cloudy,12.87855,2496,"(11.572, 19.19]",Cold
2011-03-27,summer,2011,Mar,Misty/Cloudy,12.51695,1693,"(11.572, 19.19]",Cold
2011-03-28,summer,2011,Mar,Clear/Partly Cloudy,12.878700000000002,2028,"(11.572, 19.19]",Cold
2011-03-29,summer,2011,Mar,Clear/Partly Cloudy,14.6454,2425,"(11.572, 19.19]",Cold
2011-03-30,summer,2011,Mar,Misty/Cloudy,14.8675,1536,"(11.572, 19.19]",Cold
2011-03-31,summer,2011,Mar,Light Rain/Snow,12.87875,1685,"(11.572, 19.19]",Cold
2011-04-01,summer,2011,Apr,Misty/Cloudy,14.172699999999999,2227,"(11.572, 19.19]",Cold
2011-04-02,summer,2011,Apr,Misty/Cloudy,15.78185,2252,"(11.572, 19.19]",Cold
2011-04-03,summer,2011,Apr,Clear/Partly Cloudy,18.93835,3249,"(11.572, 19.19]",Cold
2011-04-04,summer,2011,Apr,Clear/Partly Cloudy,27.14645,3115,"(26.808, 34.427]",Hot
2011-04-05,summer,2011,Apr,Misty/Cloudy,19.9175,1795,"(19.19, 26.808]",Moderate
2011-04-06,summer,2011,Apr,Clear/Partly Cloudy,19.3804,2808,"(19.19, 26.808]",Moderate
2011-04-07,summer,2011,Apr,Clear/Partly Cloudy,21.684800000000003,3141,"(19.19, 26.808]",Moderate
2011-04-08,summer,2011,Apr,Misty/Cloudy,16.223950000000002,1471,"(11.572, 19.19]",Cold
2011-04-09,summer,2011,Apr,Misty/Cloudy,17.07645,2455,"(11.572, 19.19]",Cold
2011-04-10,summer,2011,Apr,Misty/Cloudy,21.33685,2895,"(19.19, 26.808]",Moderate
2011-04-11,summer,2011,Apr,Misty/Cloudy,28.260849999999998,3348,"(26.808, 34.427]",Hot
2011-04-12,summer,2011,Apr,Misty/Cloudy,24.6527,2034,"(19.19, 26.808]",Moderate
2011-04-13,summer,2011,Apr,Misty/Cloudy,20.864150000000002,2162,"(19.19, 26.808]",Moderate
2011-04-14,summer,2011,Apr,Clear/Partly Cloudy,23.1371,3267,"(19.19, 26.808]",Moderate
2011-04-15,summer,2011,Apr,Clear/Partly Cloudy,22.09565,3126,"(19.19, 26.808]",Moderate
2011-04-16,summer,2011,Apr,Light Rain/Snow,21.2746,795,"(19.19, 26.808]",Moderate
2011-04-17,summer,2011,Apr,Clear/Partly Cloudy,22.2848,3744,"(19.19, 26.808]",Moderate
2011-04-18,summer,2011,Apr,Clear/Partly Cloudy,25.1573,3429,"(19.19, 26.808]",Moderate
2011-04-19,summer,2011,Apr,Misty/Cloudy,24.4629,3204,"(19.19, 26.808]",Moderate
2011-04-20,summer,2011,Apr,Clear/Partly Cloudy,28.2196,3944,"(26.808, 34.427]",Hot
2011-04-21,summer,2011,Apr,Clear/Partly Cloudy,22.6946,4189,"(19.19, 26.808]",Moderate
2011-04-22,summer,2011,Apr,Misty/Cloudy,16.0977,1683,"(11.572, 19.19]",Cold
2011-04-23,summer,2011,Apr,Misty/Cloudy,22.50605,4036,"(19.19, 26.808]",Moderate
2011-04-24,summer,2011,Apr,Misty/Cloudy,27.58815,4191,"(26.808, 34.427]",Hot
2011-04-25,summer,2011,Apr,Clear/Partly Cloudy,28.725,4073,"(26.808, 34.427]",Hot
2011-04-26,summer,2011,Apr,Clear/Partly Cloudy,29.704150000000002,4400,"(26.808, 34.427]",Hot
2011-04-27,summer,2011,Apr,Misty/Cloudy,28.7571,3872,"(26.808, 34.427]",Hot
2011-04-28,summer,2011,Apr,Misty/Cloudy,28.946450000000002,4058,"(26.808, 34.427]",Hot
2011-04-29,summer,2011,Apr,Clear/Partly Cloudy,24.87315,4595,"(19.19, 26.808]",Moderate
2011-04-30,summer,2011,Apr,Clear/Partly Cloudy,23.201050000000002,5312,"(19.19, 26.808]",Moderate
2011-05-01,summer,2011,May,Misty/Cloudy,22.4102,3351,"(19.19, 26.808]",Moderate
2011-05-02,summer,2011,May,Misty/Cloudy,26.64165,4401,"(19.19, 26.808]",Moderate
2011-05-03,summer,2011,May,Misty/Cloudy,29.10395,4451,"(26.808, 34.427]",Hot
2011-05-04,summer,2011,May,Misty/Cloudy,20.2325,2633,"(19.19, 26.808]",Moderate
2011-05-05,summer,2011,May,Clear/Partly Cloudy,22.09585,4433,"(19.19, 26.808]",Moderate
2011-05-06,summer,2011,May,Clear/Partly Cloudy,23.70585,4608,"(19.19, 26.808]",Moderate
2011-05-07,summer,2011,May,Clear/Partly Cloudy,25.63105,4714,"(19.19, 26.808]",Moderate
2011-05-08,summer,2011,May,Clear/Partly Cloudy,25.946649999999998,4333,"(19.19, 26.808]",Moderate
2011-05-09,summer,2011,May,Clear/Partly Cloudy,26.2623,4362,"(19.19, 26.808]",Moderate
2011-05-10,summer,2011,May,Clear/Partly Cloudy,26.13605,4803,"(19.19, 26.808]",Moderate
2011-05-11,summer,2011,May,Clear/Partly Cloudy,26.419999999999998,4182,"(19.19, 26.808]",Moderate
2011-05-12,summer,2011,May,Clear/Partly Cloudy,26.16815,4864,"(19.19, 26.808]",Moderate
2011-05-13,summer,2011,May,Misty/Cloudy,24.715,4105,"(19.19, 26.808]",Moderate
2011-05-14,summer,2011,May,Misty/Cloudy,25.03145,3409,"(19.19, 26.808]",Moderate
2011-05-15,summer,2011,May,Misty/Cloudy,26.8,4553,"(19.19, 26.808]",Moderate
2011-05-16,summer,2011,May,Clear/Partly Cloudy,27.5256,3958,"(26.808, 34.427]",Hot
2011-05-17,summer,2011,May,Misty/Cloudy,26.926450000000003,4123,"(26.808, 34.427]",Hot
2011-05-18,summer,2011,May,Misty/Cloudy,26.3579,3855,"(19.19, 26.808]",Moderate
2011-05-19,summer,2011,May,Misty/Cloudy,25.537100000000002,4575,"(19.19, 26.808]",Moderate
2011-05-20,summer,2011,May,Clear/Partly Cloudy,26.4521,4917,"(19.19, 26.808]",Moderate
2011-05-21,summer,2011,May,Clear/Partly Cloudy,28.59875,5805,"(26.808, 34.427]",Hot
2011-05-22,summer,2011,May,Clear/Partly Cloudy,28.725,4660,"(26.808, 34.427]",Hot
2011-05-23,summer,2011,May,Misty/Cloudy,29.5148,4274,"(26.808, 34.427]",Hot
2011-05-24,summer,2011,May,Misty/Cloudy,30.240650000000002,4492,"(26.808, 34.427]",Hot
2011-05-25,summer,2011,May,Clear/Partly Cloudy,30.7771,4978,"(26.808, 34.427]",Hot
2011-05-26,summer,2011,May,Clear/Partly Cloudy,32.7344,4677,"(26.808, 34.427]",Hot
2011-05-27,summer,2011,May,Clear/Partly Cloudy,31.8504,4679,"(26.808, 34.427]",Hot
2011-05-28,summer,2011,May,Clear/Partly Cloudy,30.61895,4758,"(26.808, 34.427]",Hot
2011-05-29,summer,2011,May,Clear/Partly Cloudy,30.777500000000003,4788,"(26.808, 34.427]",Hot
2011-05-30,summer,2011,May,Clear/Partly Cloudy,33.5546,4098,"(26.808, 34.427]",Hot
2011-05-31,summer,2011,May,Clear/Partly Cloudy,36.26915,3982,"(34.427, 42.045]",Very Hot
2011-06-01,summer,2011,Jun,Misty/Cloudy,36.04835,3974,"(34.427, 42.045]",Very Hot
2011-06-02,summer,2011,Jun,Clear/Partly Cloudy,32.1971,4968,"(26.808, 34.427]",Hot
2011-06-03,summer,2011,Jun,Clear/Partly Cloudy,29.356650000000002,5312,"(26.808, 34.427]",Hot
2011-06-04,summer,2011,Jun,Clear/Partly Cloudy,29.7348,5342,"(26.808, 34.427]",Hot
2011-06-05,summer,2011,Jun,Misty/Cloudy,30.8402,4906,"(26.808, 34.427]",Hot
2011-06-06,summer,2011,Jun,Clear/Partly Cloudy,31.0929,4548,"(26.808, 34.427]",Hot
2011-06-07,summer,2011,Jun,Clear/Partly Cloudy,32.7975,4833,"(26.808, 34.427]",Hot
2011-06-08,summer,2011,Jun,Clear/Partly Cloudy,36.36395,4401,"(34.427, 42.045]",Very Hot
2011-06-09,summer,2011,Jun,Misty/Cloudy,37.87895,3915,"(34.427, 42.045]",Very Hot
2011-06-10,summer,2011,Jun,Clear/Partly Cloudy,35.1646,4586,"(34.427, 42.045]",Very Hot
2011-06-11,summer,2011,Jun,Clear/Partly Cloudy,33.901900000000005,4966,"(26.808, 34.427]",Hot
2011-06-12,summer,2011,Jun,Clear/Partly Cloudy,32.166250000000005,4460,"(26.808, 34.427]",Hot
2011-06-13,summer,2011,Jun,Clear/Partly Cloudy,30.082700000000003,5020,"(26.808, 34.427]",Hot
2011-06-14,summer,2011,Jun,Clear/Partly Cloudy,29.5773,4891,"(26.808, 34.427]",Hot
2011-06-15,summer,2011,Jun,Clear/Partly Cloudy,29.3877,5180,"(26.808, 34.427]",Hot
2011-06-16,summer,2011,Jun,Misty/Cloudy,29.767300000000002,3767,"(26.808, 34.427]",Hot
2011-06-17,summer,2011,Jun,Clear/Partly Cloudy,30.01915,4844,"(26.808, 34.427]",Hot
2011-06-18,summer,2011,Jun,Clear/Partly Cloudy,32.197700000000005,5119,"(26.808, 34.427]",Hot
2011-06-19,summer,2011,Jun,Misty/Cloudy,32.292300000000004,4744,"(26.808, 34.427]",Hot
2011-06-20,summer,2011,Jun,Misty/Cloudy,29.767300000000002,4010,"(26.808, 34.427]",Hot
2011-06-21,fall,2011,Jun,Misty/Cloudy,31.8823,4835,"(26.808, 34.427]",Hot
2011-06-22,fall,2011,Jun,Clear/Partly Cloudy,34.69145,4507,"(34.427, 42.045]",Very Hot
2011-06-23,fall,2011,Jun,Misty/Cloudy,34.69165,4790,"(34.427, 42.045]",Very Hot
2011-06-24,fall,2011,Jun,Clear/Partly Cloudy,32.82915,4991,"(26.808, 34.427]",Hot
2011-06-25,fall,2011,Jun,Clear/Partly Cloudy,32.16565,5202,"(26.808, 34.427]",Hot
2011-06-26,fall,2011,Jun,Clear/Partly Cloudy,31.88145,5305,"(26.808, 34.427]",Hot
2011-06-27,fall,2011,Jun,Misty/Cloudy,31.8502,4708,"(26.808, 34.427]",Hot
2011-06-28,fall,2011,Jun,Clear/Partly Cloudy,34.6279,4648,"(34.427, 42.045]",Very Hot
2011-06-29,fall,2011,Jun,Clear/Partly Cloudy,32.7344,5225,"(26.808, 34.427]",Hot
2011-06-30,fall,2011,Jun,Clear/Partly Cloudy,31.8504,5515,"(26.808, 34.427]",Hot
2011-07-01,fall,2011,Jul,Clear/Partly Cloudy,32.6081,5362,"(26.808, 34.427]",Hot
2011-07-02,fall,2011,Jul,Clear/Partly Cloudy,33.3654,5119,"(26.808, 34.427]",Hot
2011-07-03,fall,2011,Jul,Misty/Cloudy,33.42875,4649,"(26.808, 34.427]",Hot
2011-07-04,fall,2011,Jul,Misty/Cloudy,33.27085,6043,"(26.808, 34.427]",Hot
2011-07-05,fall,2011,Jul,Clear/Partly Cloudy,34.816900000000004,4665,"(34.427, 42.045]",Very Hot
2011-07-06,fall,2011,Jul,Clear/Partly Cloudy,34.28165,4629,"(26.808, 34.427]",Hot
2011-07-07,fall,2011,Jul,Clear/Partly Cloudy,34.34355,4592,"(26.808, 34.427]",Hot
2011-07-08,fall,2011,Jul,Misty/Cloudy,33.524150000000006,4040,"(26.808, 34.427]",Hot
2011-07-09,fall,2011,Jul,Clear/Partly Cloudy,33.2079,5336,"(26.808, 34.427]",Hot
2011-07-10,fall,2011,Jul,Clear/Partly Cloudy,34.50125,4881,"(34.427, 42.045]",Very Hot
2011-07-11,fall,2011,Jul,Clear/Partly Cloudy,36.4902,4086,"(34.427, 42.045]",Very Hot
2011-07-12,fall,2011,Jul,Clear/Partly Cloudy,36.96375,4258,"(34.427, 42.045]",Very Hot
2011-07-13,fall,2011,Jul,Clear/Partly Cloudy,34.4702,4342,"(34.427, 42.045]",Very Hot
2011-07-14,fall,2011,Jul,Clear/Partly Cloudy,31.7552,5084,"(26.808, 34.427]",Hot
2011-07-15,fall,2011,Jul,Clear/Partly Cloudy,31.21855,5538,"(26.808, 34.427]",Hot
2011-07-16,fall,2011,Jul,Clear/Partly Cloudy,31.91315,5923,"(26.808, 34.427]",Hot
2011-07-17,fall,2011,Jul,Clear/Partly Cloudy,33.49165,5302,"(26.808, 34.427]",Hot
2011-07-18,fall,2011,Jul,Clear/Partly Cloudy,35.19625,4458,"(34.427, 42.045]",Very Hot
2011-07-19,fall,2011,Jul,Clear/Partly Cloudy,37.37395,4541,"(34.427, 42.045]",Very Hot
2011-07-20,fall,2011,Jul,Clear/Partly Cloudy,37.3425,4332,"(34.427, 42.045]",Very Hot
2011-07-21,fall,2011,Jul,Misty/Cloudy,41.31855,3784,"(34.427, 42.045]",Very Hot
2011-07-22,fall,2011,Jul,Clear/Partly Cloudy,42.0448,3387,"(34.427, 42.045]",Very Hot
2011-07-23,fall,2011,Jul,Clear/Partly Cloudy,40.214349999999996,3285,"(34.427, 42.045]",Very Hot
2011-07-24,fall,2011,Jul,Clear/Partly Cloudy,39.74145,3606,"(34.427, 42.045]",Very Hot
2011-07-25,fall,2011,Jul,Clear/Partly Cloudy,36.0479,3840,"(34.427, 42.045]",Very Hot
2011-07-26,fall,2011,Jul,Clear/Partly Cloudy,34.84895,4590,"(34.427, 42.045]",Very Hot
2011-07-27,fall,2011,Jul,Clear/Partly Cloudy,34.53335,4656,"(34.427, 42.045]",Very Hot
2011-07-28,fall,2011,Jul,Clear/Partly Cloudy,36.995,4390,"(34.427, 42.045]",Very Hot
2011-07-29,fall,2011,Jul,Clear/Partly Cloudy,39.29835,3846,"(34.427, 42.045]",Very Hot
2011-07-30,fall,2011,Jul,Clear/Partly Cloudy,36.42685,4475,"(34.427, 42.045]",Very Hot
2011-07-31,fall,2011,Jul,Clear/Partly Cloudy,36.4898,4302,"(34.427, 42.045]",Very Hot
2011-08-01,fall,2011,Aug,Clear/Partly Cloudy,35.1646,4266,"(34.427, 42.045]",Very Hot
2011-08-02,fall,2011,Aug,Clear/Partly Cloudy,35.35355,4845,"(34.427, 42.045]",Very Hot
2011-08-03,fall,2011,Aug,Misty/Cloudy,33.99685,3574,"(26.808, 34.427]",Hot
2011-08-04,fall,2011,Aug,Misty/Cloudy,33.2394,4576,"(26.808, 34.427]",Hot
2011-08-05,fall,2011,Aug,Clear/Partly Cloudy,32.82835,4866,"(26.808, 34.427]",Hot
2011-08-06,fall,2011,Aug,Misty/Cloudy,33.807700000000004,4294,"(26.808, 34.427]",Hot
2011-08-07,fall,2011,Aug,Clear/Partly Cloudy,35.7646,3785,"(34.427, 42.045]",Very Hot
2011-08-08,fall,2011,Aug,Clear/Partly Cloudy,35.16415,4326,"(34.427, 42.045]",Very Hot
2011-08-09,fall,2011,Aug,Clear/Partly Cloudy,36.20605,4602,"(34.427, 42.045]",Very Hot
2011-08-10,fall,2011,Aug,Clear/Partly Cloudy,34.24915,4780,"(26.808, 34.427]",Hot
2011-08-11,fall,2011,Aug,Clear/Partly Cloudy,32.57605,4792,"(26.808, 34.427]",Hot
2011-08-12,fall,2011,Aug,Clear/Partly Cloudy,32.7021,4905,"(26.808, 34.427]",Hot
2011-08-13,fall,2011,Aug,Misty/Cloudy,32.2929,4150,"(26.808, 34.427]",Hot
2011-08-14,fall,2011,Aug,Misty/Cloudy,31.219400000000004,3820,"(26.808, 34.427]",Hot
2011-08-15,fall,2011,Aug,Clear/Partly Cloudy,30.80835,4338,"(26.808, 34.427]",Hot
2011-08-16,fall,2011,Aug,Clear/Partly Cloudy,32.29185,4725,"(26.808, 34.427]",Hot
2011-08-17,fall,2011,Aug,Clear/Partly Cloudy,33.33355,4694,"(26.808, 34.427]",Hot
2011-08-18,fall,2011,Aug,Clear/Partly Cloudy,33.1129,3805,"(26.808, 34.427]",Hot
2011-08-19,fall,2011,Aug,Misty/Cloudy,31.661050000000003,4153,"(26.808, 34.427]",Hot
2011-08-20,fall,2011,Aug,Clear/Partly Cloudy,32.4498,5191,"(26.808, 34.427]",Hot
2011-08-21,fall,2011,Aug,Clear/Partly Cloudy,33.776250000000005,3873,"(26.808, 34.427]",Hot
2011-08-22,fall,2011,Aug,Clear/Partly Cloudy,31.9127,4758,"(26.808, 34.427]",Hot
2011-08-23,fall,2011,Aug,Clear/Partly Cloudy,30.303350000000002,5895,"(26.808, 34.427]",Hot
2011-08-24,fall,2011,Aug,Clear/Partly Cloudy,31.5346,5130,"(26.808, 34.427]",Hot
2011-08-25,fall,2011,Aug,Misty/Cloudy,32.2927,3542,"(26.808, 34.427]",Hot
2011-08-26,fall,2011,Aug,Clear/Partly Cloudy,32.98665,4661,"(26.808, 34.427]",Hot
2011-08-27,fall,2011,Aug,Misty/Cloudy,31.7778,1115,"(26.808, 34.427]",Hot
2011-08-28,fall,2011,Aug,Clear/Partly Cloudy,32.397949999999994,4334,"(26.808, 34.427]",Hot
2011-08-29,fall,2011,Aug,Clear/Partly Cloudy,30.3979,4634,"(26.808, 34.427]",Hot
2011-08-30,fall,2011,Aug,Clear/Partly Cloudy,29.7352,5204,"(26.808, 34.427]",Hot
2011-08-31,fall,2011,Aug,Clear/Partly Cloudy,30.556050000000003,5058,"(26.808, 34.427]",Hot
2011-09-01,fall,2011,Sep,Clear/Partly Cloudy,30.746050000000004,5115,"(26.808, 34.427]",Hot
2011-09-02,fall,2011,Sep,Misty/Cloudy,30.2404,4727,"(26.808, 34.427]",Hot
2011-09-03,fall,2011,Sep,Clear/Partly Cloudy,31.66065,4484,"(26.808, 34.427]",Hot
2011-09-04,fall,2011,Sep,Clear/Partly Cloudy,33.27145,4940,"(26.808, 34.427]",Hot
2011-09-05,fall,2011,Sep,Misty/Cloudy,31.282300000000003,3351,"(26.808, 34.427]",Hot
2011-09-06,fall,2011,Sep,Light Rain/Snow,25.759999999999998,2710,"(19.19, 26.808]",Moderate
2011-09-07,fall,2011,Sep,Light Rain/Snow,27.21145,1996,"(26.808, 34.427]",Hot
2011-09-08,fall,2011,Sep,Light Rain/Snow,27.76805,1842,"(26.808, 34.427]",Hot
2011-09-09,fall,2011,Sep,Misty/Cloudy,28.9473,3544,"(26.808, 34.427]",Hot
2011-09-10,fall,2011,Sep,Clear/Partly Cloudy,30.3981,5345,"(26.808, 34.427]",Hot
2011-09-11,fall,2011,Sep,Clear/Partly Cloudy,30.46145,5046,"(26.808, 34.427]",Hot
2011-09-12,fall,2011,Sep,Clear/Partly Cloudy,30.106500000000004,4713,"(26.808, 34.427]",Hot
2011-09-13,fall,2011,Sep,Clear/Partly Cloudy,30.1777,4763,"(26.808, 34.427]",Hot
2011-09-14,fall,2011,Sep,Clear/Partly Cloudy,31.345,4785,"(26.808, 34.427]",Hot
2011-09-15,fall,2011,Sep,Misty/Cloudy,27.68355,3659,"(26.808, 34.427]",Hot
